method,Nmeas,fmin,fmax,ncp,upper,lpred,MIPgap,tvec_1,tvec_2,tvec_3,tvec_4,tvec_5,tvec_6,tvec_7,tvec_8,tvec_9,tvec_10,tvec_11,tvec_12,tvec_13,tvec_14,tvec_15,tvec_16,tvec_17,tvec_18,tvec_19,tvec_20,tvec_21,tvec_22,tvec_23,tvec_24,tvec_25,tvec_26,tvec_27,tvec_28,tvec_29,tvec_30,tvec_31,tvec_32,tvec_33,tvec_34,tvec_35,tvec_36,tvec_37,tvec_38,tvec_39,tvec_40,tvec_41,tvec_42,tvec_43,tvec_44,tvec_45,tvec_46,tvec_47,tvec_48
diffEVCR,16,1,6,7.063173,NaN,NaN,NaN,0.649569883850383,0.154159720106472,0.369585435093186,0.231853324440223,0.619015492787657,0.2999411094689,0.868513785645452,0.797987772010821,0.0865107617144497,0.698595633694936,0.744327834154628,0.510114765531916,0.474787237657152,0.430641194437285,0.568202206812192,0.938801084624141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,1,8,6.711131,NaN,NaN,NaN,0.337012669335265,0.206887325003872,0.501781091597427,0.0599112708313034,0.163138732268663,0.106040338209226,0.00607404653196786,0.286359669910152,0.844108358649432,0.674259328016191,0.385658394829595,0.782729217057035,0.555072124056634,0.608096918089583,0.44536750819199,0.722683544256382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,2,10,7.07404,NaN,NaN,NaN,0.712331127943782,0.758450882738787,0.366623867584622,0.446421077443454,0.491928226781808,0.535370410045493,0.635420018983159,0.690152279469184,0.402151940017388,0.571829636228848,0.31571704369985,0.600469930539513,0.796257943281577,0.732898770131126,0.665345647168747,0.831016014819062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,2,12,7.004382,NaN,NaN,NaN,0.764377961431664,0.582980940017134,0.836738182011755,0.608295263865511,0.700031283778191,0.474209530073082,0.638483162851164,0.732009348657143,0.527454030213698,0.666314324213987,0.557907177714619,0.405695690981349,0.438823921792014,0.498958906139526,0.370842099591167,0.808715430377446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,2,14,6.790969,NaN,NaN,NaN,0.35102846480719,0.15545480150489,0.253955007919787,0.601810036401817,0.316230301573169,0.633570886825589,0.541702626175345,0.379334481794921,0.480536157173742,0.663818633271112,0.416346376208417,0.447725927079309,0.574834207272114,0.22350189926502,0.280451545681319,0.510877927117927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,2,16,6.704106,NaN,NaN,NaN,0.689609425143929,0.269233698745243,0.467751895770313,0.555318919459836,0.583884338217342,0.325272199959323,0.501956829307045,0.608409509848715,0.442182504273031,0.355687484336061,0.408343404276867,0.526318624013145,0.634935585233461,0.296648624038772,0.670122653587579,0.37948324409459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,2,18,6.525946,NaN,NaN,NaN,0.445951427233898,0.377393883535921,0.546794267611491,0.156944735850828,0.311014063629027,0.42281085926916,0.677965096299341,0.599849454192397,0.355922119083384,0.262193393345173,0.47301361674561,0.496985201068915,0.399820810381471,0.288070643822235,0.332563021164513,0.522388471543854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,2,20,6.21425,NaN,NaN,NaN,0.438290056886819,0.803002721067683,0.555347309447222,0.653278751847593,0.601291760777163,0.672761918102678,0.508238273215872,0.73994720322237,0.715767110077906,0.58392085375845,0.783083435610105,0.390119933702043,0.695997788483381,0.627960810864581,0.763747855876359,0.528530076304415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,2,22,6.045141,NaN,NaN,NaN,0.914677944771463,0.61551646618939,0.728386824594357,0.535426035395489,0.745472097799866,0.768960690441266,0.646301957350656,0.521202952672418,0.807398829410171,0.680059829052696,0.829532824526515,0.698202348914937,0.663888922597821,0.852129366923895,0.872552564647559,0.791907498759681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,2,24,5.906139,NaN,NaN,NaN,0.0563198883090051,0.281071187845366,0.368940150129463,0.298927860208804,0.610446566439828,0.415568198219618,0.244750619595274,0.336069916884368,0.15235264468071,0.383418588028833,0.500087203546069,0.452269614740394,0.318186884514696,0.435548952500012,0.354184205372793,0.397178806733152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,2,2,7.998206,NaN,NaN,NaN,0.818796941107293,0.62970872246262,0.231501567172398,0.65009888460001,0.453201640402185,0.500559558109715,0.548398927054428,0.345145158635824,0.290435931258617,0.703528590277232,0.436091806492865,0.595528725665591,0.0817632149284211,0.743095238195063,0.372643183529079,0.45366363379795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,2,4,7.686454,NaN,NaN,NaN,0.367603640430156,0.41530035149341,0.456348970471288,0.230831187359573,0.139779332777111,0.378116337409875,0.179048380174629,0.271798077177966,0.277698159426482,0.542740379187328,0.11679840380534,0.474356575707009,0.0447793547869656,0.321382186188151,0.332249576680495,0.215728797989438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,2,6,7.365311,NaN,NaN,NaN,0.522478590393936,0.293978417502133,0.421915052426766,0.349931461851886,0.648320621265659,0.755725457304381,0.469650371915958,0.686674175018498,0.563185214052807,0.376220283460707,0.494358356555263,0.428609703878684,0.574735456459884,0.716385066814823,0.61888537940342,0.79778637562387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,2,8,7.26965,NaN,NaN,NaN,0.664503614105786,0.534521243835481,0.442223606139366,0.697345013047531,0.501451346860057,0.303891403332337,0.351352475716589,0.385581576227146,0.470559231477019,0.720248071454197,0.585181638478593,0.415438837158842,0.645093466647491,0.550706522462758,0.757515870643083,0.611882824483905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,4,10,7.325763,NaN,NaN,NaN,0.534299034076916,0.56625144359456,0.386390565202568,0.491862259465822,0.496053816452377,0.518516797921019,0.399786363928747,0.471651722012497,0.35730798744298,0.530405919796935,0.428540198823893,0.321674269570937,0.440460437306751,0.456075070984955,0.356799168773179,0.399628214764107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
diffEVCR,16,4,12,7.287563,NaN,NaN,NaN,0.520850475083039,0.613093837985176,0.647376572602875,0.662932909051294,0.3810632389308,0.441488999310491,0.627724105293585,0.408322449927784,0.684655284601108,0.470684130183307,0.557535311480281,0.540522071053186,0.710667270974364,0.595336418647749,0.576943374587841,0.499061804910953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
